Date;Open;High;Low;Close;Buy
04/11/2022;400000000;416000000;372000000;382000000;No
04/12/2022;422000000;442000000;360000000;370000000;No
4/13/2022;370000000;380000000;360000000;374000000;Yes
4/14/2022;374000000;382000000;374000000;376000000;Yes
4/18/2022;376000000;380000000;370000000;378000000;Yes
4/19/2022;378000000;380000000;358000000;358000000;No
4/20/2022;358000000;364000000;338000000;338000000;No
4/21/2022;340000000;340000000;336000000;340000000;No
4/22/2022;340000000;340000000;330000000;340000000;No
4/25/2022;318000000;338000000;318000000;328000000;Yes
4/26/2022;348000000;348000000;308000000;310000000;No
4/27/2022;300000000;310000000;290000000;290000000;No
4/28/2022;270000000;290000000;270000000;272000000;Yes
05/09/2022;254000000;270000000;254000000;254000000;No
05/10/2022;254000000;254000000;238000000;238000000;No
05/11/2022;224000000;238000000;222000000;222000000;No
05/12/2022;212000000;220000000;208000000;208000000;No
5/13/2022;200000000;200000000;194000000;194000000;No
5/17/2022;187000000;224000000;181000000;200000000;Yes
5/18/2022;186000000;250000000;186000000;248000000;Yes
5/19/2022;232000000;292000000;232000000;280000000;Yes
5/20/2022;262000000;314000000;262000000;304000000;Yes
5/23/2022;324000000;324000000;286000000;296000000;No
5/24/2022;276000000;312000000;276000000;302000000;Yes
5/25/2022;300000000;310000000;290000000;304000000;Yes
5/27/2022;304000000;314000000;300000000;312000000;Yes
5/30/2022;318000000;318000000;308000000;314000000;No
5/31/2022;314000000;314000000;300000000;304000000;No
06/02/2022;344000000;346000000;304000000;344000000;No
06/03/2022;364000000;364000000;342000000;354000000;No
06/06/2022;352000000;358000000;330000000;330000000;No
06/07/2022;310000000;370000000;310000000;364000000;Yes
06/08/2022;362000000;390000000;350000000;378000000;Yes
06/09/2022;378000000;404000000;370000000;384000000;Yes
06/10/2022;384000000;398000000;370000000;386000000;Yes
6/13/2022;378000000;390000000;370000000;388000000;Yes
6/14/2022;382000000;400000000;382000000;400000000;Yes
6/15/2022;400000000;416000000;398000000;404000000;Yes
6/16/2022;408000000;412000000;382000000;392000000;No
6/17/2022;390000000;390000000;366000000;366000000;No
6/20/2022;366000000;376000000;344000000;370000000;Yes
6/21/2022;374000000;380000000;362000000;378000000;Yes
6/22/2022;382000000;386000000;370000000;380000000;No
6/23/2022;380000000;384000000;374000000;380000000;No
6/24/2022;380000000;402000000;378000000;392000000;Yes
6/27/2022;396000000;400000000;384000000;394000000;No
6/28/2022;394000000;394000000;384000000;392000000;No
6/29/2022;388000000;398000000;384000000;390000000;Yes
6/30/2022;390000000;394000000;380000000;388000000;No
07/01/2022;388000000;390000000;362000000;370000000;No
07/04/2022;370000000;370000000;346000000;346000000;No
07/05/2022;346000000;350000000;332000000;334000000;No
07/06/2022;330000000;342000000;320000000;324000000;No
07/07/2022;324000000;340000000;324000000;338000000;Yes
07/08/2022;344000000;354000000;342000000;350000000;Yes
07/11/2022;354000000;354000000;334000000;338000000;No
07/12/2022;338000000;338000000;330000000;330000000;No
7/13/2022;330000000;330000000;320000000;324000000;No
7/14/2022;324000000;336000000;320000000;332000000;Yes
7/15/2022;332000000;336000000;320000000;320000000;No
7/18/2022;320000000;328000000;298000000;298000000;No
7/19/2022;304000000;316000000;286000000;302000000;No
7/20/2022;306000000;314000000;304000000;308000000;Yes
7/21/2022;308000000;310000000;300000000;300000000;No
7/22/2022;300000000;310000000;300000000;308000000;Yes
7/25/2022;308000000;312000000;300000000;300000000;No
7/26/2022;300000000;304000000;292000000;292000000;No
7/27/2022;294000000;300000000;288000000;294000000;No
7/28/2022;300000000;310000000;296000000;306000000;Yes
7/29/2022;308000000;310000000;296000000;296000000;No
08/01/2022;298000000;302000000;284000000;286000000;No
08/02/2022;288000000;292000000;280000000;286000000;No
08/03/2022;286000000;298000000;284000000;296000000;Yes
08/04/2022;300000000;304000000;296000000;296000000;No
08/05/2022;298000000;304000000;292000000;296000000;No
08/08/2022;296000000;300000000;282000000;282000000;No
08/09/2022;282000000;286000000;274000000;280000000;No
08/10/2022;282000000;286000000;276000000;280000000;No
08/11/2022;290000000;300000000;288000000;296000000;Yes
08/12/2022;298000000;298000000;290000000;292000000;No
8/15/2022;292000000;298000000;288000000;294000000;Yes
8/16/2022;292000000;326000000;292000000;324000000;Yes
8/18/2022;326000000;340000000;316000000;334000000;Yes
8/19/2022;334000000;344000000;332000000;334000000;No
